event_name,date,time,location,price,source,url
Noah Rinker,2026-02-22,07:00 AM,Thunderbird Cafe & Music Hall,N/A,pgh.events,https://thunderbirdmusichall.com/event/noah-rinker/thunderbird-cafe-music-hall/pittsburgh-pennsylvania/
Black History Month (Bonus) Drag Brunch!,2026-02-22,11:00 AM,Trace Brewing,N/A,pgh.events,https://www.tracebloomfield.com/calendar-1/2026/2/22/black-history-month-bonus-drag-brunch
"Ascend the Spiral – A Night of Alice in Chains, Tool and System of a Down",2026-02-22,12:00 PM,Jergel's Rhythm Grille,N/A,pgh.events,https://jergels.com/events/ascend-the-spiral-a-night-of-alice-in-chains-tool-and-system-of-a-down/
Miracle Finds / Tokyo Sayonara / Dan Styslinger,2026-02-22,12:00 PM,The Government Center,N/A,pgh.events,https://www.thegovernmentcenter.com/events/miracle-finds-tokyo-sayonara-dan-styslinger
No Resolve,2026-02-22,12:00 PM,Crafthouse Stage & Grill,N/A,pgh.events,https://crafthousepgh.com/no-resolve-%e2%88%99-september-21-2025/
"PGHwrites: Free Association Reading Series with Laura Jackson, Dani LaMorte, Lauren Shapiro & James Tasillo",2026-02-22,03:00 PM,City of Asylum,Free,pgh.events,https://cityofasylum.org/program/pghwrites-free-association-reading-series-february-2026/
Tribute to Art BLakey: Indestructible ft Roger Humphries!,2026-02-22,05:00 PM,Con Alma,N/A,pgh.events,https://www.conalmapgh.com/jazz/indestructible-ft-roger-humphries
CLOSED,2026-02-22,06:00 PM,Poetry Lounge,N/A,pgh.events,https://www.poetrymillvale.com/event/donbistarkey-a-celebration-of-life/
Kiel Fest 2026,2026-02-22,06:00 PM,Spirit,N/A,pgh.events,https://spiritpgh.com/calendar/2026/2/22/starbrick-records-presents-kiel-fest-2026
Celebrating Don Bistarkey,2026-02-22,06:00 PM,Spirit,N/A,pgh.events,https://spiritpgh.com/calendar/2026/2/22/celebrating-don-bistarkey
SISTER WIFE SEX STRIKE,2026-02-22,08:00 PM,Bottlerocket Social Hall,N/A,pgh.events,https://app.opendate.io/e/sister-wife-sex-strike-february-22-2026-631516
Robotics & Tech Happy Hour!,2026-02-26,06:00 PM,Moonshot Museum016 North Lincoln,Free,Eventbrite,https://www.eventbrite.com/e/robotics-tech-happy-hour-tickets-1968235596653
A Conversation with Margaret Hoover and Jennifer Palmieri,2026-03-12,06:00 PM,Campbell Memorial Chapel10 Chapel Hill,Free,Eventbrite,https://www.eventbrite.com/e/a-conversation-with-margaret-hoover-and-jennifer-palmieri-tickets-1976939690833
Mamma Mia!,2026-03-15,02:00 PM,Upper St. Clair High School825 McLaughlin Run,Free,Eventbrite,https://www.eventbrite.com/e/mamma-mia-tickets-1980133376232
Moneybagg Yo LIVE at Enclave,2026-02-27,09:00 PM,Enclave602 East Carson,Free,Eventbrite,https://www.eventbrite.com/e/moneybagg-yo-live-at-enclave-tickets-1980758206115
St. Practice Day Pierogi Contest & Charity Crawl,2026-03-07,01:00 PM,Pittsburgh,$1,Eventbrite,https://www.eventbrite.com/e/st-practice-day-pierogi-contest-charity-crawl-tickets-1980152135341
A Conversation with Holocaust Survivor Jerry Guttman,2026-02-23,06:00 PM,Eddy Theatre,Free,Eventbrite,https://www.eventbrite.com/e/a-conversation-with-holocaust-survivor-jerry-guttman-tickets-1980558961168
Singles Speed Dating,2026-02-27,07:00 PM,Sally Ann's36 6th,Free,Eventbrite,https://www.eventbrite.com/e/singles-speed-dating-tickets-1982694914863
February 26th PDMA Pittsburgh Happy Hour Networking Event,2026-02-26,06:00 PM,Perrytown Tap House002 Perry Highway,$15,Eventbrite,https://www.eventbrite.com/e/february-26th-pdma-pittsburgh-happy-hour-networking-event-tickets-1981275961736
VisitPITTSBURGH 2026 Annual Meeting,2026-03-23,01:30 PM,David L. Lawrence Convention Center000 Fort Duquesne,Free,Eventbrite,https://www.eventbrite.com/e/visitpittsburgh-2026-annual-meeting-tickets-1982219372503
"Robotics Day/ Builders Forum Sponsored by Advantech, Qualcomm and Arrow",2026-02-25,08:30 AM,Wyndham Grand Pittsburgh Downtown,Free,Eventbrite,https://www.eventbrite.com/e/robotics-day-builders-forum-sponsored-by-advantech-qualcomm-and-arrow-tickets-1980237850718
Pittsburgh Bridal Showcase,2026-03-22,12:00 PM,David L. Lawrence Convention Center000 Fort Duquesne,$15,Eventbrite,https://www.eventbrite.com/e/pittsburgh-bridal-showcase-tickets-1637159109969
BECOME @ PerScholas,2026-02-26,05:30 PM,Per Scholas,Free,Eventbrite,https://www.eventbrite.com/e/become-perscholas-tickets-1979460952996
Tenth Annual Lock Kickoff,2026-03-07,06:00 PM,"Riverside Landings Event Center2 Washington AvenueOakmont, PA 15139",$70,Eventbrite,https://www.eventbrite.com/e/tenth-annual-lock-kickoff-tickets-1978286681719
FRIDAY MARCH 6: DAVE SMITH,2026-03-06,07:00 PM,The Comedy Bar @ Remo's151 Babcock,Free,Eventbrite,https://www.eventbrite.com/e/friday-march-6-dave-smith-tickets-1981466616991
Level Up Your LinkedIn Personal Brand.,2026-02-25,05:30 PM,"The Garden Room, National Aviary00 Arch",Free,Eventbrite,https://www.eventbrite.com/e/level-up-your-linkedin-personal-brand-tickets-1657853908669
Kegs n' Eggs at City Works Pittsburgh,2026-03-14,08:00 AM,City Works -,$25,Eventbrite,https://www.eventbrite.com/e/kegs-n-eggs-at-city-works-pittsburgh-tickets-1981804893786
Annual Sisters Helping Sisters Win 2026,2026-03-14,03:00 PM,The Circuit Center,$450.00,Eventbrite,https://www.eventbrite.com/e/annual-sisters-helping-sisters-win-2026-tickets-1979315680482
LIVESTOK presents: DRKRM,2026-02-27,08:00 PM,1139 Penn Ave139 Penn,Free,Eventbrite,https://www.eventbrite.com/e/livestok-presents-drkrm-tickets-1979166767078
FRIDAY FEBRUARY 27: LUIS J GOMEZ,2026-02-27,09:00 PM,The Comedy Bar @ Remo's151 Babcock,Free,Eventbrite,https://www.eventbrite.com/e/friday-february-27-luis-j-gomez-tickets-1797198211229
"Reading & Conversation: ""Grizzled"" by Jason Bittel",2026-03-06,07:00 PM,White Whale Bookstore754 Liberty,Free,Eventbrite,https://www.eventbrite.com/e/reading-conversation-grizzled-by-jason-bittel-tickets-1982596683049
